Ax,Ay,Az,Gx,Gy,Gz,Label
0.002,-0.001,1.019,0.499,-2.266,1.383,Idle
0.002,-0.005,1.021,0.525,-2.188,1.383,Idle
0.001,-0.000,1.020,0.551,-2.257,1.391,Idle
0.003,-0.003,1.020,0.507,-2.249,1.383,Idle
0.002,-0.002,1.019,0.516,-2.249,1.418,Idle
0.001,-0.002,1.021,0.499,-2.231,1.383,Idle
0.001,-0.001,1.021,0.516,-2.240,1.383,Idle
0.003,-0.004,1.019,0.543,-2.231,1.383,Idle
0.001,-0.002,1.021,0.516,-2.223,1.374,Idle
0.000,-0.000,1.019,0.499,-2.275,1.383,Idle
0.002,-0.002,1.019,0.569,-2.231,1.374,Idle
0.003,-0.003,1.019,0.481,-2.266,1.383,Idle
0.001,-0.002,1.020,0.577,-2.257,1.391,Idle
0.001,-0.001,1.020,0.490,-2.257,1.383,Idle
0.002,-0.003,1.021,0.551,-2.266,1.426,Idle
0.002,-0.003,1.021,0.490,-2.266,1.374,Idle
0.001,-0.002,1.020,0.551,-2.257,1.383,Idle
0.002,0.000,1.022,0.516,-2.231,1.409,Idle
0.002,-0.003,1.021,0.499,-2.257,1.374,Idle
0.002,-0.002,1.019,0.525,-2.293,1.383,Idle
0.002,-0.002,1.020,0.516,-2.284,1.444,Idle
0.002,-0.002,1.019,0.490,-2.231,1.383,Idle
0.002,-0.003,1.019,0.560,-2.257,1.418,Idle
0.002,-0.003,1.019,0.560,-2.205,1.400,Idle
0.002,-0.002,1.019,0.490,-2.231,1.435,Idle
0.002,-0.001,1.020,0.551,-2.240,1.374,Idle
0.002,-0.002,1.020,0.516,-2.266,1.426,Idle
0.002,-0.003,1.019,0.525,-2.240,1.391,Idle
0.002,-0.001,1.020,0.516,-2.257,1.409,Idle
0.002,-0.002,1.019,0.499,-2.266,1.383,Idle
0.002,-0.003,1.018,0.499,-2.249,1.339,Idle
0.002,-0.003,1.020,0.516,-2.275,1.356,Idle
0.002,-0.000,1.019,0.560,-2.249,1.391,Idle
0.001,-0.003,1.018,0.525,-2.257,1.426,Idle
0.002,-0.002,1.020,0.534,-2.249,1.400,Idle
0.002,-0.002,1.020,0.507,-2.214,1.391,Idle
0.003,-0.001,1.021,0.543,-2.240,1.374,Idle
0.001,-0.002,1.019,0.481,-2.284,1.383,Idle
0.002,-0.003,1.020,0.525,-2.249,1.391,Idle
0.002,-0.001,1.019,0.534,-2.275,1.409,Idle
0.002,-0.002,1.020,0.543,-2.240,1.418,Idle
0.002,-0.003,1.019,0.534,-2.249,1.339,Idle
0.003,-0.003,1.018,0.551,-2.240,1.391,Idle
0.001,-0.002,1.019,0.534,-2.266,1.400,Idle
0.002,-0.001,1.017,0.516,-2.240,1.383,Idle
0.002,-0.003,1.021,0.543,-2.188,1.374,Idle
0.002,-0.003,1.020,0.560,-2.240,1.391,Idle
0.002,-0.002,1.020,0.525,-2.240,1.391,Idle
0.002,-0.001,1.019,0.543,-2.266,1.356,Idle
0.002,-0.002,1.020,0.560,-2.257,1.409,Idle
0.002,-0.002,1.021,0.499,-2.257,1.391,Idle
0.002,-0.002,1.020,0.516,-2.257,1.426,Idle
0.002,-0.002,1.018,0.464,-2.249,1.409,Idle
0.002,-0.002,1.020,0.534,-2.240,1.383,Idle
0.001,-0.002,1.018,0.507,-2.266,1.409,Idle
0.002,-0.002,1.018,0.472,-2.275,1.391,Idle
0.001,-0.002,1.020,0.551,-2.275,1.383,Idle
0.001,-0.002,1.023,0.499,-2.249,1.400,Idle
0.002,-0.001,1.021,0.534,-2.257,1.391,Idle
0.002,-0.002,1.021,0.499,-2.240,1.391,Idle
0.002,-0.002,1.020,0.464,-2.240,1.400,Idle
0.002,-0.002,1.019,0.507,-2.249,1.400,Idle
0.001,-0.002,1.021,0.525,-2.266,1.400,Idle
0.002,-0.003,1.018,0.577,-2.231,1.391,Idle
0.002,-0.002,1.019,0.516,-2.284,1.400,Idle
0.001,-0.002,1.022,0.551,-2.249,1.374,Idle
0.002,-0.002,1.019,0.525,-2.249,1.400,Idle
0.002,-0.002,1.020,0.490,-2.257,1.365,Idle
0.002,-0.002,1.021,0.543,-2.257,1.383,Idle
0.002,-0.002,1.022,0.534,-2.231,1.365,Idle
0.002,-0.001,1.020,0.534,-2.257,1.383,Idle
0.003,-0.002,1.020,0.507,-2.223,1.409,Idle
0.003,-0.003,1.020,0.551,-2.249,1.391,Idle
0.002,-0.002,1.020,0.516,-2.249,1.418,Idle
0.001,-0.002,1.020,0.543,-2.240,1.391,Idle
0.002,-0.001,1.017,0.490,-2.240,1.383,Idle
0.002,-0.003,1.018,0.490,-2.223,1.391,Idle
0.002,-0.002,1.017,0.534,-2.266,1.347,Idle
0.002,-0.002,1.019,0.534,-2.266,1.330,Idle
0.002,-0.001,1.022,0.516,-2.223,1.383,Idle
0.002,-0.002,1.021,0.525,-2.214,1.400,Idle
0.002,-0.002,1.020,0.525,-2.249,1.347,Idle
0.001,-0.002,1.020,0.499,-2.257,1.383,Idle
0.002,-0.002,1.020,0.490,-2.240,1.426,Idle
0.002,-0.002,1.019,0.490,-2.231,1.418,Idle
0.003,-0.002,1.021,0.534,-2.257,1.374,Idle
0.002,-0.003,1.018,0.534,-2.240,1.400,Idle
0.002,-0.003,1.018,0.543,-2.266,1.409,Idle
0.002,-0.002,1.020,0.516,-2.231,1.391,Idle
0.002,-0.001,1.018,0.534,-2.266,1.400,Idle
0.002,-0.002,1.020,0.543,-2.266,1.426,Idle
0.003,-0.001,1.022,0.586,-2.240,1.365,Idle
0.001,-0.002,1.021,0.551,-2.231,1.391,Idle
0.002,-0.002,1.019,0.543,-2.266,1.383,Idle
0.001,-0.003,1.020,0.560,-2.240,1.391,Idle
0.003,-0.002,1.019,0.534,-2.240,1.374,Idle
0.001,-0.002,1.016,0.499,-2.275,1.391,Idle
0.002,-0.002,1.020,0.534,-2.275,1.391,Idle
0.002,-0.001,1.018,0.551,-2.231,1.391,Idle
-0.000,-0.006,1.016,0.551,-2.231,1.365,Idle
-0.001,-0.005,1.019,0.438,-2.275,1.383,Idle
0.001,-0.004,1.009,0.516,-2.214,1.391,Idle
-0.004,-0.013,0.977,0.403,-2.205,1.383,Idle
0.002,-0.005,1.012,0.464,-2.293,1.400,Idle
-0.001,-0.007,1.006,0.472,-2.266,1.426,Idle
0.000,-0.003,1.010,0.499,-2.223,1.374,Idle
0.001,-0.003,1.018,0.543,-2.293,1.365,Idle
0.002,-0.003,1.019,0.516,-2.266,1.374,Idle
0.001,-0.003,1.019,0.534,-2.266,1.339,Idle
0.001,-0.002,1.019,0.507,-2.266,1.426,Idle
0.002,-0.003,1.019,0.543,-2.257,1.383,Idle
0.002,-0.002,1.021,0.516,-2.240,1.374,Idle
0.002,-0.001,1.024,0.569,-2.240,1.400,Idle
0.001,-0.002,1.022,0.560,-2.231,1.383,Idle
0.001,-0.003,1.020,0.551,-2.231,1.435,Idle
0.002,-0.002,1.019,0.525,-2.240,1.383,Idle
0.002,-0.002,1.021,0.507,-2.231,1.383,Idle
0.002,-0.002,1.019,0.490,-2.231,1.391,Idle
0.002,-0.003,1.018,0.525,-2.257,1.383,Idle
0.002,-0.003,1.019,0.490,-2.240,1.374,Idle
0.001,-0.002,1.018,0.499,-2.249,1.418,Idle
0.002,-0.003,1.019,0.507,-2.257,1.391,Idle
0.002,-0.002,1.020,0.516,-2.257,1.400,Idle
